Date,Symbol,Order,Shares
2016-01-25,AAPL,BUY,100
2016-02-16,AAPL,SELL,100
2016-02-17,AAPL,BUY,100
2016-02-23,AAPL,SELL,100
2016-03-01,AAPL,BUY,100
2016-04-18,AAPL,SELL,100
2016-05-23,AAPL,BUY,100
2016-06-13,AAPL,SELL,100
2016-06-15,AAPL,BUY,100
2016-07-07,AAPL,SELL,100
2016-07-08,AAPL,BUY,100
2016-07-26,AAPL,SELL,100
2016-08-26,AAPL,BUY,100
2016-09-07,AAPL,SELL,100
2016-09-14,AAPL,BUY,100
2016-10-26,AAPL,SELL,100
2016-10-27,AAPL,BUY,100
2016-11-21,AAPL,SELL,100
2016-12-05,AAPL,BUY,100
2016-12-07,AAPL,SELL,100
2017-01-06,AAPL,BUY,100
2017-04-11,AAPL,SELL,100
2017-04-13,AAPL,BUY,100
2017-04-24,AAPL,SELL,100
2017-05-01,AAPL,BUY,100
2017-06-09,AAPL,SELL,100
2017-07-11,AAPL,BUY,100
2017-09-08,AAPL,SELL,100
2017-09-14,AAPL,BUY,100
2017-10-09,AAPL,SELL,100
2017-10-10,AAPL,BUY,100
2017-11-29,AAPL,SELL,100
2017-12-01,AAPL,BUY,100
2017-12-11,AAPL,SELL,100
2017-12-13,AAPL,BUY,100
